Mkt Cap,P/E,Div/yield,EPS,Shared,Base Price,,,,,,,,,,
266320000000,11.49,0.20/2.50,2.76,8390000000,25,,,,,,,,,,
,,,,,,,,,,,,,,,
date,close,volume,open,high,low,Volume Percentage,Deviation / Base,Gain / Base,Efficiency,Total Gain Fit,Total Loss Fit,Slope Indicator,Leaps,Volitality New 2,Diif
,,,,,,"How much of the total shares in the market was moved? Can act as a multiplier to whatever happened in that day. Higher volume means more backing that change. Lower volume is a contained, low-impact event",High – Low / Base,( (Close – Open) / Base ),"How sure is the market? It can be used as a multiplier. If it's 100, then it's for sure heading in the positive direction without any doubt. If it's 0, then don't buy or sell at that time since it could really go either way at that point.. I.E. The closer it is to zero, the more riskier a transaction. This can also be an indicator of entry or exit points... ",Maps the optimal case when the high is the close and the low is the open,"Maps to the worst case when we open at our highest point and then at closing, we're at our lowest point. So if this says 100, that's bad news. ","Positive means that we were closer to the optimal case, neg means we were closer to the worst case of start at high end at low. Numbers will be between -100 and 100 (though realistically within +- 15)","If we kept decreasing continuously at the rate of the biggest jump (high – low), how many days would it be before we hit zero? Or (to phrase it positivley) if we increase at that rate, how many days before we double our initial base investment? The higher the number, the safer our investment in and we can be more confident that it'll turn over a profit because it'll likely stay within this price range",,
2012/02/28,31.87,45210140,31.41,31.93,31.38,0.0053885745,0.022,0.0184,83.6363636364,99.8582889804,,,,,
2012/02/27,31.35,34460260,31.24,31.5,31.1,0.0041073015,0.016,0.0044,27.5,99.537833059,#REF!,#REF!,841.8237361258,#REF!,#REF!
2012/02/24,31.48,35567630,31.48,31.5,31.24,0.0042392884,0.0104,0,0,99.5870595591,#REF!,#REF!,868.9423212234,#REF!,#REF!
2012/02/23,31.37,35026760,31.2,31.59,31,0.0041748224,0.0236,0.0068,28.813559322,99.3312757202,#REF!,#REF!,855.7469064121,#REF!,#REF!
2012/02/22,31.27,49233770,31.45,31.68,31.18,0.005868149,0.02,-0.0072,-36,98.9236512582,,,,,
2012/02/21,31.44,50826910,31.18,31.61,31.15,0.0060580346,0.0184,0.0104,56.5217391304,99.6829899925,,,,,
2012/02/17,31.25,70027440,31.2,31.32,30.95,0.0083465364,0.0148,0.002,13.5135135135,99.4876092936,,,,,
2012/02/16,31.285,94670540,30.31,31.55,30.3,0.0112837354,0.05,0.039,78,99.5635354898,,,,,
2012/02/15,30.05,43307170,30.33,30.39,30.03,0.0051617604,0.0144,-0.0112,-77.7777777778,98.9460456206,,,,,
2012/02/14,30.25,59641900,30.33,30.46,29.85,0.0071086889,0.0244,-0.0032,-13.1147540984,98.8639898737,,,,,
2012/02/13,30.58,33300370,30.63,30.77,30.43,0.0039690548,0.0136,-0.002,-14.7058823529,99.3647804087,,,,,
2012/02/10,30.495,44690870,30.64,30.8,30.36,0.005326683,0.0176,-0.0058,-32.9545454545,99.0479510698,,,,,
2012/02/09,30.77,50441910,30.68,30.8,30.48,0.0060121466,0.0128,0.0036,28.125,99.6253534601,Mkt cap,266.32B,,,
2012/02/08,30.66,49652740,30.26,30.67,30.22,0.0059180858,0.018,0.016,88.8888888889,99.9176035709,P/E,11.49,,,
2012/02/07,30.35,39239840,30.15,30.485,30.05,0.0046769774,0.0174,0.008,45.9770114943,99.6127421501,Div/yield,0.20/2.52,,,
2012/02/06,30.2,28000280,30.04,30.22,29.97,0.0033373397,0.01,0.0064,64,99.8503980133,EPS,2.76,,,
2012/02/03,30.24,41830560,30.14,30.4,30.09,0.004985764,0.0124,0.004,32.2580645161,99.6538958544,Shares,8.39B,,,
2012/02/02,29.95,52198560,29.9,30.17,29.71,0.0062215209,0.0184,0.002,10.8695652174,99.3176736509,,,,,
2012/02/01,29.89,67404180,29.79,30.05,29.76,0.0080338713,0.0116,0.004,34.4827586207,99.683424571,,,,,
2012/01/31,29.53,50728330,29.66,29.7,29.23,0.0060462849,0.0188,-0.0052,-27.6595744681,98.9889227179,,,,,
2012/01/30,29.61,50965800,28.97,29.62,28.83,0.0060745888,0.0316,0.0256,81.0126582278,99.7414902422,,,,,
2012/01/27,29.23,44184880,29.45,29.53,29.17,0.0052663743,0.0144,-0.0088,-61.1111111111,99.0166599878,,,,,
2012/01/26,29.5,49102100,29.61,29.7,29.4,0.0058524553,0.012,-0.0044,-36.6666666667,99.3086897342,,,,,
2012/01/25,29.56,59214930,29.07,29.65,29.07,0.0070577986,0.0232,0.0196,84.4827586207,99.8482293423,,,,,
2012/01/24,29.34,51652980,29.47,29.5703,29.18,0.0061564934,0.015612,-0.0052,-33.3077120164,99.1185632142,,,,,
2012/01/23,29.73,76074730,29.55,29.95,29.35,0.0090673099,0.024,0.0072,30,99.2943117265,,,,,
2012/01/20,29.71,165832000,28.82,29.74,28.75,0.019765435,0.0396,0.0356,89.898989899,99.8281194362,,,,,
2012/01/19,28.12,73635390,28.16,28.435,28.03,0.0087765662,0.0162,-0.0016,-9.8765432099,99.2152812885,,,,,
2012/01/18,28.23,64831080,28.31,28.4,27.97,0.0077271847,0.0172,-0.0032,-18.6046511628,99.1002097004,,,,,
2012/01/17,28.255,72381690,28.4,28.65,28.17,0.0086271383,0.0192,-0.0058,-30.2083333333,98.9057161468,,,,,
2012/01/13,28.25,60148480,27.93,28.25,27.79,0.0071690679,0.0184,0.0128,69.5652173913,99.7493734336,,,,,
2012/01/12,28,49363140,27.87,28.02,27.645,0.0058835685,0.015,0.0052,34.6666666667,99.560651357,,,,,
2012/01/11,27.72,65567410,27.43,27.98,27.37,0.0078149476,0.0244,0.0116,47.5409836066,99.4260131123,,,,,
2012/01/10,27.84,59857060,27.93,28.15,27.75,0.0071343337,0.016,-0.0036,-22.5,99.1271441736,,,,,
2012/01/09,27.74,59696070,28.05,28.1,27.72,0.0071151454,0.0152,-0.0124,-81.5789473684,98.7711953109,,,,,
2012/01/06,28.105,99339690,27.53,28.19,27.525,0.0118402491,0.0266,0.023,86.4661654135,99.8401563157,,,,,
2012/01/05,27.68,55953390,27.38,27.728,27.29,0.0066690572,0.01752,0.012,68.4931506849,99.7490913505,,,,,
2012/01/04,27.4,80221700,26.82,27.47,26.78,0.0095615852,0.0276,0.0232,84.0579710145,99.7980170626,,,,,
2012/01/03,26.765,64697880,26.55,26.96,26.39,0.0077113087,0.0228,0.0086,37.7192982456,99.3370348483,,,,,
2011/12/30,25.96,27394130,26,26.12,25.91,0.003265093,0.0084,-0.0016,-19.0476190476,99.5206443633,,,,,
2011/12/29,26.02,22483110,25.95,26.05,25.86,0.0026797509,0.0076,0.0028,36.8421052632,99.7690080215,,,,,
2011/12/28,25.82,29790500,26.11,26.15,25.76,0.0035507151,0.0156,-0.0116,-74.358974359,98.6987835697,,,,,
2011/12/27,26.04,21273360,25.96,26.14,25.93,0.0025355614,0.0084,0.0032,38.0952380952,99.7509410629,,,,,
2011/12/23,26.03,23186180,25.91,26.04,25.73,0.0027635495,0.0124,0.0048,38.7096774194,99.633442538,,,,,
2011/12/22,25.81,35779480,25.82,25.86,25.475,0.0042645387,0.0154,-0.0004,-2.5974025974,99.2352388449,,,,,
2011/12/21,25.76,64122850,26.01,26.19,25.44,0.0076427712,0.03,-0.01,-33.3333333333,98.0833435726,,,,,
2011/12/20,26.025,60731540,25.86,26.1,25.81,0.0072385626,0.0116,0.0066,56.8965517241,99.7596474385,,,,,
2011/12/19,25.53,52234790,26.02,26.12,25.46,0.0062258391,0.0264,-0.0196,-74.2424242424,97.7945019322,,,,,
2011/12/16,26,101271900,25.67,26.17,25.63,0.0120705483,0.0216,0.0132,61.1111111111,99.5972886519,,,,,
2011/12/15,25.56,46189880,25.72,25.88,25.54,0.0055053492,0.0136,-0.0064,-47.0588235294,99.0318397389,,,,,
